property,area,type,website,rating,price_pp_night_2share_usd,price_pp_night_3share_usd,native_price,breakfast,rooms_available_for_block,distance_to_operators,group_terms,deposit_terms,cancellation_terms,price_flag,sources,access_date,confidence,notes
"Hotel Cozumel & Resort (Cozumel Hotel & Resort, Trademark Collection by Wyndham)","Costera Sur km 1.7, c. 1 mile / 1.6 km south of downtown San Miguel","Resort hotel with on-site dive shop (Dive Paradise), 180 rooms, pool, B&B or all-inclusive plans",https://www.hotelcozumel.com.mx (also https://diveparadise.com/cozumel-hotel/),Tripadvisor listed; score not in snippet,"41-54 (room from USD 81 on Kayak; USD 54 derived from Marin Scuba Club non-diver price USD 379.50 for 7 nights incl breakfast and tax, June 2026)",unknown (INFERRED c. 30-40 if triples offered; ask),"USD 81 room/night (Kayak); USD 379.50 pp 7 nights non-diver double (Marin Scuba Club, June 2026); Dive Paradise 5 nights + 3 dive days from USD 635 pp double valid to 20 Dec 2026 (Deep Blue Adventures)",Included: complimentary buffet breakfast 07:00-10:30 on B&B (EP) plan; all-inclusive plan also offered,unknown (180 rooms total; the only property on the list large enough for 40 pax in one block),"Dive Paradise on site (boats from hotel pier); Scuba Club Cozumel 0.3 km; Sand Dollar Sports (km 3.2) c. 1.5 km; Aldora / downtown pier c. 1.6 km (5 min taxi, 20 min walk); Marina Fonatur (Blue Note, Scuba Tony) c. 4-5 km, 10 min taxi. Distances INFERRED from km markers",Group and dive-package pricing advertised (PADI Travel: 'family / group package pricing available'; Dive Paradise 'Travel Partner' programme). Terms not published,unknown,unknown,"ADVERTISED (snippet) for room-from rates and package prices; QUOTE NEEDED for 3-share, block, deposit, cancellation",https://www.kayak.com/Cozumel-Hotels-Hotel-Cozumel-Resort.82959.ksp ; https://marinscubaclub.org/hotel-cozumel-resort/ ; https://www.deepblueadventures.com/tour/hotel-cozumel-and-dive-paradise-stay-and-dive-packages-all-inclusive-plan/ ; https://travel.padi.com/dive-resort/mexico/hotel-cozumel-resort/ ; https://www.bluewaterdivetravel.com/resort/hotel-cozumel-and-dive-paradise ; https://diveparadise.com/cozumel-hotel/,2026-09-21,medium,"Rank 1 for 30-40 pax: capacity, breakfast, pool for confined-water training, on-site operator with large boats. Eco/room taxes (c. USD 2 per room per night per Deep Blue snippet) extra. Snippet also lists it under Wyndham Trademark Collection; confirm current branding and whether Wyndham group desk or hotel handles blocks."
Casa Mexicana Cozumel,"Downtown San Miguel waterfront, Av. Rafael E. Melgar at Calle 5-7 Sur, c. 400 m south of the ferry pier","3.5-4 star hotel, 88 rooms (72 deluxe city/terrace view + 16 ocean view), rooftop pool, breakfast buffet",https://www.casamexicanacozumel.com/en,c. 9.2/10 (brief; Booking.com listing),"65-84 (room USD 130-167 incl taxes and fees: USD 167 one-night sample Apr 2026 on Hotels.com/Trip.com; CAD 220 total for 15-16 Dec on Hotels.com CA, c. USD 160 INFERRED at 0.73)",unknown (INFERRED c. 45-56 if a third adult is allowed in a deluxe room; ask),"USD 130-167 per room per night incl tax (aggregator samples); MXN c. 2,240-2,870 at 17.2",Included: buffet / a la carte breakfast daily 07:00-11:30 (hotel site and reviews),"unknown (88 rooms; a 20-room block plausible, 40 would take most of the hotel in high season)","Aldora Divers shop and pier (Calle 5 Sur 37) c. 100 m; ferry pier c. 400 m; Salty Endeavors pier pick-ups at downtown public piers c. 100-500 m; Blue Magic (downtown) walkable INFERRED; Marina Fonatur (Blue Note, Scuba Tony) c. 6 km, 10 min taxi",Hotel advertises 'personalised attention to weddings and groups'; rates for groups not published. Salty Endeavors sells a Casa Mexicana stay-and-dive package,unknown (non-refundable prepaid rate exists on hotel site),"Standard: cancel 72 h before arrival, otherwise one night charged (Business Travel News snippet). Flexible rate and non-refundable rate both offered on hotel site; non-refundable rate: no refund for cancellation, change or no-show","ADVERTISED (snippet) for rates and breakfast; QUOTE NEEDED for group block, 3-share and group cancellation",https://www.casamexicanacozumel.com/en ; https://www.casamexicanacozumel.com/en/offers-promotions/tarifa-flexible ; https://www.casamexicanacozumel.com/en/offers-promotions/non-refundable-offer ; https://www.hotels.com/ho196606/casa-mexicana-cozumel-cozumel-mexico/ ; https://www.trip.com/hotels/cozumel-hotel-detail-3027903/casa-mexicana-cozumel/ ; https://www.businesstravelnews.com/Hotels/Cozumel/Casa-Mexicana-Cozumel-p3248102 ; https://cozumelscuba.com/casa-mexicana/,2026-09-21,medium,Rank 2: best-rated downtown option with breakfast; sister hotels Suites Bahia and Suites Colonial can take overflow under one negotiation. Long-stay (5+ nights) special exists on hotel site; ask whether it stacks with a group rate.
Suites Bahia (now listed as Hotel Casa Bahia Cozumel - Adults Only),"Downtown San Miguel, Av. Rafael E. Melgar x Calle 3 Sur, c. 200 m from the ferry pier","3-star suites hotel, adults only, sister property of Casa Mexicana",https://www.casamexicanacozumel.com (sister; own booking via aggregators),Tripadvisor listed; score not in snippet,"38-50 (room avg USD 99, low USD 76-85, HotelsCombined)",unknown (INFERRED 25-33 if triple suites offered),"USD 76-99 room/night (aggregator); MXN c. 1,300-1,700 at 17.2",Included: buffet breakfast 07:00-10:30 served at sister hotel Casa Mexicana at no extra charge (Tripadvisor/HotelsCombined snippets),unknown,Aldora pier c. 150 m; ferry pier c. 200 m; downtown piers walkable; Marina Fonatur c. 6 km,unknown (negotiate jointly with Casa Mexicana),unknown,unknown,ADVERTISED (snippet); QUOTE NEEDED,https://www.hotelscombined.com/Hotel/Suites_Bahia.htm ; https://www.tripadvisor.com/Hotel_Review-g150809-d154471-Reviews-Suites_Bahia-Cozumel_Yucatan_Peninsula.html ; https://www.orbitz.com/Cozumel-Hotels-Suites-Bahia.h792106.Hotel-Information,2026-09-21,medium,Adults-only is no obstacle for an MBA group. Cheaper than Casa Mexicana with the same breakfast; use as overflow or as the primary budget block.
Hotel Plaza Cozumel (Blue Magic Scuba dive-and-stay partner),"Downtown San Miguel, one block from the ferry pier and main plaza","3-star hotel, rooftop terrace, pool, breakfast included",https://plaza.hotelcozumel.net/en/ (packages: https://www.bluemagicscuba.com/dive-and-stay-packages/),Tripadvisor listed; score not in snippet,"c. 40 room-only (room from USD 79-80, Priceline/Hotels.com) or USD 126 pp per night as part of the Blue Magic package (USD 884 pp / 7 nights incl 5 dive days, double occupancy, 16% + 5% taxes included)",unknown (ask Blue Magic for triple pricing),"USD 79-80 room/night (aggregator); Blue Magic package USD 884 pp double, 7 nights + 5 x 2-tank days, 8-20 Dec band; USD 1,143 from 21 Dec 2026","Included: free continental / full breakfast daily (hotel and Blue Magic pages, reviews)",unknown (small hotel; ask Blue Magic how many rooms they can block),Ferry pier 1 block; Blue Magic boats from downtown piers (INFERRED); Aldora c. 300 m; Marina Fonatur c. 6 km,Package price published per person double; group terms not published,unknown,unknown,"ADVERTISED (snippet); QUOTE NEEDED for block size, 3-share, deposit, cancellation",https://www.bluemagicscuba.com/dive-and-stay-packages/ ; https://www.priceline.com/hotel-deals/en-us/P3000062401/H10330405/hotel-plaza-cozumel.ssp ; https://www.hotels.com/ho362101/hotel-plaza-cozumel-cozumel-mexico/ ; https://www.tripadvisor.com/Hotel_Review-g150809-d252675-Reviews-Hotel_Plaza_Cozumel-Cozumel_Yucatan_Peninsula.html,2026-09-21,medium,Rank 3: cheapest bundled route for certified divers (USD 884 all-in lodging + 10 dives before park fee and gear). Beginners need a separate course price from Blue Magic (W1). Capacity for 40 doubtful; likely 10-20 rooms.
Casa del Mar Cozumel Hotel & Dive Resort,"Costera Sur km 4, south hotel zone, c. 4 km south of downtown","Dive resort hotel with on-site dive shops (Dive House / Cozumel Marine World; Dive Paradise also serves), pool, beach-club access",https://casadelmarcozumel.com/ (also http://www.casadelmarcozumelhotel.com/),Tripadvisor listed; score not in snippet,"c. 50 (room from MXN 1,575 c. USD 92 on hotel site; Momondo avg USD 87; plus USD 4 environmental + USD 5 resort fee per room per night)","c. 33 (triple occupancy permitted with different rate; no extra beds, so existing bed configuration)","MXN 1,575 room/night from (hotel site) c. USD 92 at 17.2; fees USD 9 per room per night; one source cites city tax USD 4.26 per night",unknown (not stated as included in snippets; ask),unknown,On-site dive dock; Sand Dollar Sports km 3.2 c. 0.8 km; Scuba Club / Hotel Cozumel c. 2.5 km; Marina Fonatur c. 2 km; downtown / Aldora c. 4 km (10 min taxi),"'For group reservations contact the hotel directly for discounted rates' (Expedia/Booking snippet). One US dive shop lists USD 1,200 per diver double for a week package",unknown,unknown,ADVERTISED (snippet); QUOTE NEEDED,http://www.casadelmarcozumelhotel.com/rooms.htm ; https://www.momondo.com/hotels/cozumel/Casa-del-Mar-Cozumel-Hotel-Dive-Resort.mhd8870.ksp ; https://www.expedia.com/Cozumel-Hotels-Casa-Del-Mar-Cozumel-Hotel-Dive-Resort.h530685.Hotel-Information ; https://www.booking.com/hotel/mx/casa-del-mar-cozumel.html ; https://travel.padi.com/dive-resort/mexico/casa-del-mar-dive-resort-cozumel-marine-world/,2026-09-21,medium,Rank 4: cheapest dive-resort option with triple rates published as a concept; 10 min taxi from downtown nightlife. Ironman Cozumel group PDF suggests experience with large blocks.
Scuba Club Cozumel,"Costera Sur km 1.5, c. 1.5 km south of downtown","Dedicated dive resort: 60 ocean-front rooms with balconies, private beach, pool, 2 restaurants, 5-star dive centre, unlimited shore diving in packages",https://www.scubaclubcozumel.com/,Tripadvisor listed; score not in snippet,unknown,unknown,unknown (dive-only rates: 1-tank boat dive USD 60-65 + tax; snorkel USD 30 + tax),unknown (dive packages historically meal-inclusive; not confirmed in snippets),unknown (60 rooms),"Own dock and dive centre; Hotel Cozumel / Dive Paradise 0.3 km; downtown / Aldora c. 1.5 km (5 min taxi, 20 min walk); Marina Fonatur c. 4.5 km",unknown,unknown,unknown,QUOTE NEEDED,https://www.scubaclubcozumel.com/ ; https://scubaclubcozumel.com/index.php/rates ; https://www.tripadvisor.com/Hotel_Review-g150809-d184999-Reviews-Scuba_Club_Cozumel-Cozumel_Yucatan_Peninsula.html,2026-09-21,low,Rank 5: useful because shore diving continues during a norther and 60 rooms suit 20-30 pax. Package prices could not be read from snippets; the whole quote must come from the resort.
Villablanca Garden Beach Hotel,"Costera Sur km 3, south hotel zone, next to Sand Dollar Sports (km 3.2)","3-star resort, 50 rooms, 2 pools, private beach on Villa Blanca reef",https://www.tripadvisor.com/Hotel_Review-g150809-d154483-Reviews-Villablanca_Garden_Beach_Hotel-Cozumel_Yucatan_Peninsula.html (hotel site not surfaced),Tripadvisor listed; score not in snippet,"26-45 (room avg USD 90, low USD 51-59, HotelsCombined/Orbitz)",unknown,USD 51-90 room/night (aggregator); breakfast USD 3-12.35 pp extra,Not included: cooked-to-order breakfast 07:00-11:00 at USD 3-12.35 pp (Expedia/Orbitz snippet),unknown (50 rooms),Sand Dollar Sports 0.2 km (shore dives on Villa Blanca reef); Casa del Mar 1 km; Marina Fonatur c. 3 km; downtown / Aldora c. 3 km (8 min taxi),unknown; hotel phone +52 987 872 0730 for groups (Orbitz snippet),unknown,unknown,ADVERTISED (snippet); QUOTE NEEDED,https://www.orbitz.com/Cozumel-Hotels-Villablanca-Garden-Beach-Hotel.h791301.Hotel-Information ; https://www.hotelscombined.com/Hotel/Villablanca_Garden_Beach_Hotel.htm ; https://www.expedia.com/Cozumel-Hotels-Villablanca-Garden-Beach-Hotel.h791301.Hotel-Information ; https://sanddollarsports.com/cozumel-scuba-dive-packages/,2026-09-21,medium,Cheapest resort-zone room rate but breakfast extra and reviews are mixed; pair only if Sand Dollar Sports is the chosen operator.
Hotel Barracuda Cozumel,"Av. Rafael E. Melgar 628, south end of the downtown waterfront, c. 1 km from the ferry pier","3.5-star hotel, 42 rooms (most ocean view), own pier, in-house dive operator Scuba Juan, El Dorado restaurant",https://hotelbarracuda.info/en,Tripadvisor listed; score not in snippet,"c. 35 (room from USD 69, Priceline)",unknown,"USD 69 room/night from (aggregator); MXN c. 1,190 at 17.2",unknown (restaurant serves breakfast; inclusion not confirmed),unknown (42 rooms),Own pier: other operators pick up here; Aldora / downtown c. 1 km; Scuba Club Cozumel c. 0.5 km; Marina Fonatur c. 5 km,unknown,unknown,unknown,ADVERTISED (snippet); QUOTE NEEDED,https://www.priceline.com/hotel-deals/en-us/P3000062401/H19469504/hotel-barracuda.ssp ; https://hotelbarracuda.info/en ; https://www.expedia.com/Cozumel-Hotels-Hotel-Barracuda.h3892822.Hotel-Information ; https://www.tripadvisor.com/Hotel_Review-g150809-d154472-Reviews-Barracuda-Cozumel_Yucatan_Peninsula.html,2026-09-21,low,Budget waterfront option with pier pick-ups; 42 rooms fits 20-30 pax at 2 sharing only if nearly the whole hotel is blocked.
Hotel Flamingo (Flamingo Boutique Hotel),"Downtown San Miguel, Calle 6 Norte, c. 400 m north of the ferry pier","Small boutique hotel, rooftop terrace",https://www.tripadvisor.com/Hotel_Review-g13882869-d156808-Reviews-Flamingo_Boutique_Hotel-San_Miguel_de_Cozumel_Cozumel_Yucatan_Peninsula.html (hotel site not surfaced),Tripadvisor listed; score not in snippet,"27-44 (Classic USD 54, King USD 83, Deluxe USD 199; avg USD 88, low USD 55, Momondo/Trip.com)",unknown,"USD 54-199 room/night (aggregator); MXN c. 930-3,420 at 17.2",unknown,unknown (small property; likely under 25 rooms INFERRED),Ferry pier c. 400 m; Aldora c. 700 m; Marina Fonatur c. 6.5 km,unknown,unknown,unknown,ADVERTISED (snippet); QUOTE NEEDED,https://www.momondo.com/hotels/cozumel/Flamingo-Hotel.mhd31735.ksp ; https://us.trip.com/hotels/cozumel-hotel-detail-756828/flamingo-hotel/ ; https://www.tripadvisor.com/Hotel_Review-g13882869-d156808-Reviews-Flamingo_Boutique_Hotel-San_Miguel_de_Cozumel_Cozumel_Yucatan_Peninsula.html,2026-09-21,low,Too small for a single block; keep as overflow for a 20-pax group.
Blue Magic Hostel and Blue Magic Suites,"Downtown San Miguel, half a block from the sea","Dive hostel (mixed and women-only dorms, private rooms, garden suite) plus 3 one-bedroom suites",https://bluemagichostel.com/ ; https://www.bluemagicscuba.com/stay/blue-magic-suites/,Tripadvisor listed; score not in snippet,"16 (dorm bed, shared room with privacy curtains, c. USD 16 per night); dorm nights free when diving with Blue Magic; PADI Open Water course includes 3 free nights",n/a (dorms),USD 16 dorm bed/night (Tripadvisor snippet); suite rate not published,unknown,unknown (dorm capacity not published; only 3 suites),Blue Magic shop and downtown piers walkable; Aldora c. 300 m INFERRED; Marina Fonatur c. 6 km,'Dive with us and sleep for free' (hostel site): free dorm nights for divers and course students,unknown,unknown,ADVERTISED (snippet); QUOTE NEEDED,https://bluemagichostel.com/ ; https://www.bluemagicscuba.com/blue-magic-hostel/ ; https://www.bluemagicscuba.com/stay/blue-magic-suites/ ; https://www.tripadvisor.com/Hotel_Review-g150809-d17759772-Reviews-Blue_Magic_Hostel-Cozumel_Yucatan_Peninsula.html,2026-09-21,medium,"Not 'decent hotel' standard for the main block, but the free-nights rule for Open Water students is the cheapest beginner option on the island; ask Blue Magic how many beginners the hostel could absorb."
