route,airline_or_mode,out_date,return_date,stops,duration_door_to_door,fare_band_usd_return,native_price,group_booking_option,group_terms,price_flag,sources,access_date,confidence,notes
PHL-HRG return via FRA/MUC/ZRH/VIE,Lufthansa Group (Lufthansa / Swiss / Austrian / Edelweiss for the Europe-HRG leg),2027-01-02,2027-01-09,1 (European hub),about 15-18 h each way (INFERRED: 7-8 h transatlantic + 2-4 h connection + 4.5 h Europe-HRG),700-1300 return economy (aggregator snippets: Expedia PHL-HRG from $676 and $958; Lufthansa itineraries from $1214; Kayak January average $787 to HRG from the US),USD as quoted by aggregators,Lufthansa Group Travel desk (10+ passengers on same flights); US number 1-844-578-2867 (snippet),Payment within 7 days of booking by card or transfer; names due 14 days before departure or booking cancelled with fee; name changes free before ticketing then EUR 100 (about USD 109) per name; roughly 10 percent of the group swappable free (third-party snippet),ADVERTISED (aggregator snippet) for fares; group terms ADVERTISED (snippet of lufthansa.com terms page),https://www.expedia.com/lp/flights/phl/hrg/philadelphia-to-hurghada ; https://www.kayak.com/flight-routes/United-States-US0/Hurghada-HRG ; https://www.lufthansa.com/us/en/group-trips-terms-and-conditions ; https://www.lufthansa.com/us/en/group-travel ; https://www.flightconnections.com/flights-from-zrh-to-hrg (Edelweiss 14 flights/week ZRH-HRG as of Jul 2026),2026-09-21,medium,Recommended primary routing. Sat 2 Jan departure from PHL evening arrives HRG Sun 3 Jan afternoon/evening via most hubs (INFERRED). Specific Sat/Sun frequencies to HRG per hub: QUOTE NEEDED.
PHL-HRG return via IST,Turkish Airlines (PHL-IST nonstop was not confirmed this session; may route via another US gateway),2027-01-02,2027-01-09,1-2,about 16-20 h each way (INFERRED),unknown (INFERRED 800-1300),unknown,Turkish Airlines group desk: 10+ passengers = group; not bookable online; via agency or group sales,Deposit typically 20-50 percent per quote; balance about 21 days before departure (third-party snippets; not Turkish's own page),QUOTE NEEDED,https://www.turkishairlines.com/en-tr/legal-notice/conditions-of-online-services/ ; https://www.airlinesgroupbooking.com/turkish-airlines/terms-and-conditions.html,2026-09-21,low,Istanbul is not a Gulf hub and is acceptable under the brief. Turkish serves SSH (snippet) and HRG (INFERRED). Verify PHL-IST nonstop exists in Jan 2027.
PHL-HRG return via Europe + CAI,Lufthansa/Swiss/Austrian/BA to Cairo then EgyptAir domestic CAI-HRG,2027-01-02,2027-01-09,2,about 17-21 h each way (INFERRED),unknown (INFERRED 900-1400),unknown,EgyptAir group reservation form for 10+ passengers,Deposit or full payment may be required at booking; cancellation rules differ from individual tickets (third-party snippet),QUOTE NEEDED,https://www.egyptair.com/en/Book/Pages/Group-Reservation.aspx ; https://www.lufthansa.com/lhg/us/en/o-d/cy-cy/philadelphia-cairo,2026-09-21,low,Fallback if direct Europe-HRG seats sell out for 20-25 people. Adds a domestic bag re-check; separate tickets risk missed-connection liability.
PHL-RMF return via ZRH or FRA,Edelweiss (ZRH-RMF) or Condor (FRA-RMF) for the last leg; Lufthansa/Swiss/United/American for the Atlantic,2027-01-02,2027-01-09,1-2,about 16-20 h each way (INFERRED),unknown (INFERRED 1000-1600),unknown,Lufthansa Group desk covers Swiss/Edelweiss when on one ticket; Condor has its own group desk (not researched),unknown,QUOTE NEEDED,https://www.flightsfrom.com/ZRH-RMF (snippet: Dec 2026 11 flights; Jan 2027 only 1 flight listed) ; https://www.flyedelweiss.com/us/en/fly/flight-information/timetable.html?destination=RMF ; https://www.condor.com/eu/generated/timetable_W2027.pdf (winter 26-27 timetable exists; unread),2026-09-21,low,RISK: the flightsfrom.com snippet shows only one ZRH-RMF flight in Jan 2027 so RMF may not work on Sat 2 / Sat 9 Jan from Zurich. Condor FRA-RMF days of operation must be read from the W2027 PDF. If RMF fails fly HRG and take the 3 h road transfer.
PHL-SSH return via FRA/IST/LGW,Lufthansa (FRA-SSH) + Turkish (IST-SSH) + easyJet (LGW/SEN-SSH) for the last leg,2027-01-02,2027-01-09,1-2,about 15-19 h each way (INFERRED),unknown (INFERRED 800-1400),Lufthansa FRA-SSH 'from EUR 283' (about USD 308; direction and basis not stated in snippet); easyJet LGW-SSH Dec 2026/Jan 2027 from GBP 124.99 one way (GBP not converted); easyJet London Southend-SSH from GBP 20.99 starting 4 Jan 2027 Mon/Fri,Lufthansa / Turkish / easyJet group desks,as per airline rows above; easyJet group terms not researched,ADVERTISED (snippet) for the Europe-SSH legs; transatlantic QUOTE NEEDED,https://www.lufthansa.com/lhg/de/en/o-d/cy-cy/frankfurt-sharm-el-sheikh ; https://www.easyjet.com/en/cheap-flights/london-gatwick/sharm-el-sheikh ; https://londonsouthendairport.com/news/easyjet-announces-lyon-sharm-el-sheikh-london-southend/ ; https://www.flightconnections.com/flights-from-sharm-el-sheikh-ssh,2026-09-21,low,Sharm is reachable but not clearly easier than Hurghada from Europe in January; Hurghada stays the alternative base (also serves Marsa Shagra by road). Sharm carries Sinai optics for approvers (see phase0.md).
Open-jaw: PHL-HRG out / HRG-ZRH (or INN or MUC) on Sat 9 Jan for Euroski,Lufthansa Group multi-city (Swiss/Edelweiss ZRH leg),2027-01-02,2027-01-09 (HRG-ZRH one way),1 out; 0-1 back,out 15-18 h; HRG-ZRH nonstop about 4.5-5 h (Edelweiss snippet: ZRH-HRG about 4.5 h),unknown (INFERRED: multi-city priced near a return; Swiss one-way average about USD 550 per snippet for HRG/SSH-ZRH),Swiss HRG-ZRH one-way average about USD 550 (snippet; aggregated),Lufthansa Group desk can hold a sub-group on a multi-city itinerary (INFERRED; confirm),as Lufthansa row,QUOTE NEEDED,https://www.swiss.com/lhg/eg/en/o-d/cy-cy/hurghada-zurich ; https://www.flightconnections.com/flights-from-zrh-to-hrg,2026-09-21,low,Zurich is the practical gateway for St. Anton (about 2.5 h by road/rail; INFERRED). Innsbruck has no Egypt service in winter (INFERRED). The Euroski-to-PHL leg is Euroski's booking and is not priced here. Last dive must end 18 h before the Sat 9 Jan departure (dive last on Thu 7 or early Fri 8).
Open-jaw: PHL-RMF out / RMF-ZRH on Sat 9 Jan,Edelweiss RMF-ZRH,2027-01-02,2027-01-09,1 out; 0 back,RMF-ZRH about 4.5-5 h (INFERRED),unknown,unknown,as above,as above,QUOTE NEEDED,https://www.flightsfrom.com/ZRH-RMF,2026-09-21,very low,Only one ZRH-RMF flight listed for Jan 2027 in the snippet so this variant is unlikely to exist on Sat 9 Jan.
Egypt-London one way (HRG or SSH to LGW/LHR) on Sat 9 Jan,easyJet / TUI / British Airways (BA HRG service not confirmed),n/a,2027-01-09,0-1,about 5.5-6 h nonstop (INFERRED),unknown one way (easyJet LGW-SSH from GBP 124.99 in Dec/Jan per snippet; London-bound direction not captured),GBP 124.99 (easyJet; LGW-SSH direction),easyJet groups (not researched),unknown,ADVERTISED (snippet; opposite direction) - QUOTE NEEDED for HRG-London,https://www.easyjet.com/en/cheap-flights/london-gatwick/sharm-el-sheikh ; https://www.easyjet.com/en/cheap-flights/egypt,2026-09-21,low,For members going on to London after the trip. easyJet HRG-UK routes exist per snippet but Jan 2027 days of week not captured.
Euroski leg: Zurich/Munich/Innsbruck to PHL after Euroski,Euroski's own booking,n/a,after Euroski ends,n/a,n/a,not priced here,n/a,n/a,n/a,NOT PRICED (belongs to the Ski & Snowboard Club trek),https://groups.wharton.upenn.edu/skisnowboard/keydates/,2026-09-21,n/a,Listed only so the open-jaw is understood as a one-way ticket back for Euroski participants.
Transfer HRG airport - Marsa Shagra (about 3 h road),Red Sea Diving Safari group transfer,2027-01-03 (arrival day),2027-01-09,n/a,about 3 h,EUR 41 pp one way for 10-20 people (about USD 45); EUR 33 pp for 21-30 (about USD 36),EUR 41 / EUR 33 pp one way (brief figures),Operator books,unknown,QUOTE NEEDED (brief figures; no snippet showed RSDS transfer prices),https://www.redsea-divingsafari.com/faqs (snippet confirms private bus transfers from HRG or RMF for an extra charge; no price) ; https://www.redsea-divingsafari.com/price-lists,2026-09-21,low,Comparator: MyTransfers private car HRG airport - Marsa Shagra EUR 67.38 per vehicle (about USD 73) ADVERTISED (aggregator snippet) https://www.mytransfers.com/en/destination/egypt/hurghada-airport-hrg/hotel/red-sea-diving-safari---marsa-shagra/ ; Aggressor bus HRG - Port Hamata USD 60 pp (snippet) https://www.aggressor.com/travel-information/RedSea-Deep-South
