property,area,type,website,rating,price_pp_night_2share_usd,price_pp_night_3share_usd,native_price,board,rooms_available_for_block,distance_to_operators,group_terms,deposit_terms,cancellation_terms,price_flag,sources,access_date,confidence,notes
Marsa Shagra Village (Red Sea Diving Safari),Marsa Alam / Marsa Shagra,Royal Tent,https://www.redsea-divingsafari.com/villages/marsa-shagra/accommodation/,TripAdvisor listing exists (score not captured),85,unknown,EUR 78 pp/night sharing (brief figure; USD at placeholder 1 USD = 0.92 EUR),Full board,unknown,On site (operator's own village; house reef and dive centre in the village),11th/21st/30th guest free on transfers + accommodation + dive package (phase0 shared note; snippet-based),unknown,unknown,QUOTE NEEDED (brief figure; winter 26-27 euro page blocked; no snippet showed the price),https://www.redsea-divingsafari.com/price-lists/marsa-shagra/euro-winter-26-27 (blocked; title confirms list covers 01/11/2026-30/04/2027); https://www.redsea-divingsafari.com/price-lists/marsa-shagra/euro-winter-25-26 (prior season; unread); https://www.redsea-divingsafari.com/villages/marsa-shagra/accommodation/,2026-09-21,low,Royal Tent described on the accommodation page as the most popular category. NOTE the December workstream brief carried EUR 89 for the same category (phase0.md) versus EUR 78 in the January brief: both unverified; treat the difference as seasonal until the list is read. Marsa Shagra enquiry email is owned by another workstream.
Marsa Shagra Village (Red Sea Diving Safari),Marsa Alam / Marsa Shagra,Deluxe Chalet,https://www.redsea-divingsafari.com/villages/marsa-shagra/accommodation/,see above,123,unknown,EUR 113 pp/night sharing (brief figure),Full board,unknown,On site,as above,unknown,unknown,QUOTE NEEDED (brief figure; page blocked),as above,2026-09-21,low,Described as the village's finest room standard. December brief carried EUR 122 for the same category (phase0.md).
Marsa Shagra Village (Red Sea Diving Safari),Marsa Alam / Marsa Shagra,Standard Tent,https://www.redsea-divingsafari.com/villages/marsa-shagra/accommodation/,see above,unknown,unknown,unknown,Full board,unknown,On site,as above,unknown,unknown,QUOTE NEEDED (no snippet showed any price for this category),as above,2026-09-21,low,Cheapest category on the village's price lists in prior seasons (INFERRED from list structure; not verified for 26-27).
Marsa Shagra Village (Red Sea Diving Safari),Marsa Alam / Marsa Shagra,Deluxe Tent,https://www.redsea-divingsafari.com/villages/marsa-shagra/accommodation/,see above,unknown,unknown,unknown,Full board,unknown,On site,as above,unknown,unknown,QUOTE NEEDED,as above,2026-09-21,low,unknown
Marsa Shagra Village (Red Sea Diving Safari),Marsa Alam / Marsa Shagra,Standard Chalet,https://www.redsea-divingsafari.com/villages/marsa-shagra/accommodation/,see above,unknown,unknown,unknown,Full board,unknown,On site,as above,unknown,unknown,QUOTE NEEDED,as above,2026-09-21,low,unknown
Marsa Shagra Village (Red Sea Diving Safari),Marsa Alam / Marsa Shagra,Royal Chalet,https://www.redsea-divingsafari.com/villages/marsa-shagra/accommodation/,see above,unknown,unknown,unknown,Full board,unknown,On site,as above,unknown,unknown,QUOTE NEEDED,as above,2026-09-21,low,Single supplements for all categories: QUOTE NEEDED (no snippet).
Hilton Hurghada Plaza,Hurghada (north of town),Hotel room (4-5 star; newly renovated per snippet),https://www.hilton.com/ (property page not captured),unknown,unknown,unknown,unknown,Breakfast or half board: unknown,unknown,Emperor Divers Hurghada is based at this hotel (snippet); about 15 min from HRG airport (snippet),unknown,unknown,unknown,QUOTE NEEDED (no rate snippet captured before search budget ran out),https://www.padi.com/dive-center/egypt/emperor-divers-red-sea-fleet/ ; https://www.tripadvisor.com/Attraction_Review-g297549-d1061828-Reviews-Emperor_Divers_Hurghada_Day_Tours-Hurghada_Red_Sea_and_Sinai.html ; https://www.emperordivers.com/faq-egypt/,2026-09-21,low,Emperor Divers snippet: dive centre located at the Hilton Plaza with all its facilities; free transfers from all hotels in the resort. Outreach email drafted.
Sea Star Beau Rivage,Hurghada (2 km from centre; 10 km from HRG),Hotel room (5 star per listing),https://seastarbeaurivage.hotelshurghada.com/en/ (third-party booking mirror),unknown,unknown,unknown,"Third-party mirror advertises 'from $38' (basis not stated; treat as per room, low season); Thomas Cook packages with GBP 39 pp deposits",unknown,unknown,On-site diving club on the beach (snippet),unknown,unknown,unknown,ADVERTISED (aggregator snippet; basis unclear) - QUOTE NEEDED,https://sea-star-beau-rivage.hotel-hurghada.com/en/ ; https://www.thomascook.com/holidays/egypt/hurghada/hurghada/sea-star-beau-rivage-11595/ ; https://us.trip.com/hotels/hurghada-hotel-detail-3122286/sea-star-beau-rivage-hotel/,2026-09-21,low,Nearest realistic mid-budget option to Emperor/Orca boats; confirm which dive centre operates on site. Outreach email drafted.
Hor Palace,Hurghada (south),Hotel room (older 4 star; ORCA Dive Club's first base opened here in 1991),https://www.orca-diveclubs.com/,unknown,unknown,unknown,unknown,unknown,unknown,ORCA Dive Club on site (snippet: first ORCA club opened at Hor Palace in 1991),unknown,unknown,unknown,QUOTE NEEDED (INFERRED lead; no rate snippet),https://www.orca-diveclubs.com/,2026-09-21,low,Include only if ORCA confirms it still operates from the hotel. Outreach email drafted.
El Gouna cluster (Three Corners Rihana; Mosaique; Sheraton Miramar; Movenpick),El Gouna (25 km north of Hurghada; 20-40 min from HRG),Hotel rooms 3-5 star,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Euro-Divers / TGI / ORCA El Gouna bases (INFERRED from general knowledge; not confirmed this session),unknown,unknown,unknown,QUOTE NEEDED (search budget exhausted before this cluster was researched),none captured,2026-09-21,very low,Lead only. Search these next session; do not quote to members.
