trip,item,value_used,flag,source_url,access_date,note
all,USD per EUR,1.1465,ADVERTISED (snippet),https://tradingeconomics.com/euro-area/currency,2026-09-21,Mid-market 21 Sep 2026; Wise history shows 1.1458-1.1599 that week
all,MXN per USD,17.23,ADVERTISED (snippet),https://www.xe.com/en-us/currencyconverter/convert/?Amount=1&From=USD&To=MXN,2026-09-21,Trading Economics: 16.99-17.24 range in Sep 2026
all,DAN membership + Preferred plan (annual),119,ADVERTISED (snippet),https://dan.org/safety-prevention/diver-safety/divers-blog/membership-dive-accident-insurance-comparison/,2026-09-21,Membership USD 40 + Preferred USD 79; Master 44; Guardian 119-126.50
all,Meals and incidentals per day,35,INFERRED,unknown,2026-09-21,"Assumption; breakfast included at hotels, full board at Marsa Shagra"
all,Tips and local extras per trip,50,INFERRED,unknown,2026-09-21,Assumption
cozumel,Flight PHL-CZM return band,568-800,"ADVERTISED (snippet, aggregator)",https://www.expedia.com/lp/flights/phl/czm/philadelphia-to-cozumel,2026-09-21,"Momondo typical 607-2,026; AA cheapest 608; brief band 432-803; exact-date fare QUOTE NEEDED"
cozumel,PHL-CUN + ADO + ferry all-in return,315-450,"ADVERTISED (snippet, aggregator)",https://www.kayak.com/flight-routes/Philadelphia-PHL/Cancun-CUN,2026-09-21,Flight 255-379 + ADO 26-32 + ferry 31-39
cozumel,AA Saturday-only PHL-CZM nonstop,n/a,ADVERTISED (snippet),https://www.traveloffpath.com/american-airlines-and-air-canada-relaunching-nonstop-flights-to-cozumel-this-fall/,2026-09-21,Does not fit Tue/Sun dates; 2026-27 operation unconfirmed
cozumel,CZM airport shared van each way,15,ADVERTISED (snippet),https://everythingcozumel.com/cozumel-airport-shuttle-rates-and-routes/,2026-09-21,MXN 200-208 pp; private cab USD 35-40
cozumel,Hotel Cozumel & Resort pp/night 2 sharing,54,ADVERTISED (snippet),https://www.kayak.com/Cozumel-Hotels-Hotel-Cozumel-Resort.82959.ksp,2026-09-21,Room from USD 81; USD 54 derived from a June 2026 club package (marinscubaclub.org); breakfast included; block terms QUOTE NEEDED
cozumel,Hotel Cozumel & Resort pp/night 3 sharing,40,INFERRED,unknown,2026-09-21,30-40 if triples offered
cozumel,Casa Mexicana pp/night 2 sharing,84,ADVERTISED (snippet),https://www.hotels.com/ho196606/casa-mexicana-cozumel-cozumel-mexico/,2026-09-21,Room USD 130-167 incl taxes; breakfast included; cancel 72 h
cozumel,Open Water in-water course (Blue Note),400,ADVERTISED (snippet),https://www.bluenotescuba.com/open-water-diver,2026-09-21,"MXN 7,000; 3 days; gear included; a second snippet shows USD 300 if eLearning done: conflict, QUOTE NEEDED; park fee excluded"
cozumel,PADI Open Water eLearning,195,ADVERTISED (snippet),https://store.padi.com/en-us/courses/open-water-diver/p/60462-1B2C/,2026-09-21,195-230 depending on source
cozumel,5-day / 10-dive package (Blue Note),"MXN 10,500 (USD 600)",ADVERTISED (snippet),https://www.bluenotescuba.com/cozumel-diving-prices,2026-09-21,6th day free when 5 booked at regular price
cozumel,Two-tank boat dive mid-band,120,ADVERTISED (snippet),https://www.aldora.com/prices,2026-09-21,Aldora 95 + 16% tax; Sand Dollar 110 incl gear; Blue Note 130; ScubaTony 135/125 all-in
cozumel,Marine park fee per dive day,MXN 220 (USD 15),ADVERTISED (snippet),https://www.bluenotescuba.com/cozumel-diving-prices,2026-09-21,Excluded by almost all operators; Dive Paradise collects MXN 225
cozumel,Gear rental per day,25,ADVERTISED (snippet),https://sanddollarsports.com/activities/cozumel-scuba-diving/,2026-09-21,Wetsuit +10; Blue Magic 24-30
cozumel,Refresher,30,brief lead,unknown,2026-09-21,Aldora 97; Dive Paradise ~107 mandatory at 13+ months
cozumel,Advanced Open Water incl eLearning (Blue Note),530,ADVERTISED (snippet),https://www.bluenotescuba.com/advanced-open-water-diver,2026-09-21,"MXN 10,000; Salty Endeavors USD 350 + IVA"
cozumel,Nitrox fill per tank,12,ADVERTISED (snippet),https://www.aldora.com/prices,2026-09-21,Aldora 10; Salty 10; Sand Dollar 13
cozumel,Night dive 1 tank,95,ADVERTISED (snippet),https://www.scubaclubcozumel.com/,2026-09-21,Scuba Club Cozumel USD 95 + tax
cozumel,Bull-shark day Playa del Carmen (BAITED) all-in,260,ADVERTISED (snippet) + INFERRED,https://phantomdivers.com/shark-diving-tours/bull-shark-encounter/,2026-09-21,"MXN 3,560 (~200) + gear MXN 440 + ferry ~USD 31 return; prerequisite AOW or 20+ dives"
cozumel,Ultramar ferry one way,MXN 290 (USD 16),ADVERTISED (snippet),https://www.ultramarferry.com/index.php/en/fares,2026-09-21,Plus MXN 65 port fee; every 30-60 min
cozumel,ADO bus CUN airport-Playa,MXN 208-270 (USD 13-16),ADVERTISED (snippet),https://international.ado.com.mx/ado-bus/cancun-airport-to-playa-del-carmen?locale=es-MX,2026-09-21,unknown
cozumel,Free leader place: one per 10 paying,1 per 10,QUOTE NEEDED,unknown,2026-09-21,No Cozumel operator publishes a leader policy
cozumel,"Sand Dollar deposit 25%, free cancel 48 h+",25%,ADVERTISED (snippet),https://sanddollarsports.com/faqs/,2026-09-21,unknown
cozumel,Blue Magic group cancellation ladder,60 d full less 5%; 45-30 d 50%; <7 d forfeit,ADVERTISED (snippet),https://www.bluemagicscuba.com/blue-magic-scuba-policy-terms-and-conditions/,2026-09-21,Business advertised for sale: https://www.bluemagicscuba.com/blue-magic-scuba-is-for-sale/
cozumel,Blue Note weather refund; 48 h cancellation,full refund,ADVERTISED (snippet),https://www.bluenotescuba.com/policies,2026-09-21,unknown
cozumel,AA Group & Meeting Travel terms,per-pax deposit; holding fee = 3 lowest deposits; 1 free name change to 48 h,ADVERTISED (snippet),https://groups.aa.com/resources/PDFs/T_and_C_I_NAen-US.pdf,2026-09-21,Deposit amount QUOTE NEEDED
cozumel,Norther closures,hours to 1-2 days; peak Dec-Feb,ADVERTISED (snippet),https://sanddollarsports.com/port-closures-diving-in-cozumel/,2026-09-21,Port Captain closes at ~18 kn sustained or 4 ft seas; boats >48 ft sometimes allowed
january,Flight PHL-HRG return via Lufthansa Group hub,"700-1,300","ADVERTISED (snippet, aggregator)",https://www.kayak.com/flight-routes/Philadelphia-PHL/Hurghada-HRG,2026-09-21,"Expedia from 676/958; Lufthansa from 1,214; Jan average 787; exact-date QUOTE NEEDED"
january,Flight PHL-RMF return,"1,000-1,600",INFERRED,https://www.flightsfrom.com/RMF,2026-09-21,Only one ZRH-RMF/week visible in Jan 2027 snippet; Condor W26/27 timetable unread
january,Open-jaw HRG-ZRH one-way,~550,"ADVERTISED (snippet, aggregator)",https://www.kayak.com/flight-routes/Hurghada-HRG/Zurich-ZRH,2026-09-21,Net add-on vs return leg QUOTE NEEDED; Euroski 2027 dates unconfirmed
january,Royal Tent full board pp/night sharing (Jan low season),EUR 78,QUOTE NEEDED,https://www.redsea-divingsafari.com/price-lists/marsa-shagra/euro-winter-26-27,2026-09-21,Brief figure; page blocked; list title confirms validity 1 Nov 2026-30 Apr 2027
january,Deluxe Chalet full board pp/night sharing,EUR 113,QUOTE NEEDED,https://www.redsea-divingsafari.com/price-lists/marsa-shagra/euro-winter-26-27,2026-09-21,Brief figure
january,PADI Open Water incl gear (RSDS),EUR 358,QUOTE NEEDED,https://www.redsea-divingsafari.com/diving/marsa-shagra,2026-09-21,Gear free for OW students ADVERTISED (snippet); price is brief lead
january,PADI e-code (RSDS),EUR 94,QUOTE NEEDED,unknown,2026-09-21,Ask whether waived if eLearning bought direct
january,5-day house-reef package (RSDS),EUR 347,QUOTE NEEDED,https://www.redsea-divingsafari.com/diving/marsa-shagra,2026-09-21,Package structure ADVERTISED (snippet); price is brief lead
january,Extra house-reef day (RSDS),EUR 69,QUOTE NEEDED,unknown,2026-09-21,Brief lead
january,Gear rental per day (RSDS),EUR 15,INFERRED,unknown,2026-09-21,QUOTE NEEDED
january,Advanced Open Water (RSDS),EUR 315,INFERRED,unknown,2026-09-21,280-350 estimate; QUOTE NEEDED
january,Dolphin House day incl fee,EUR 48 + 19,QUOTE NEEDED,unknown,2026-09-21,Brief lead
january,Abu Dabab day incl entry,EUR 48 + 11,QUOTE NEEDED,unknown,2026-09-21,Brief lead
january,Elphinstone day boat,EUR 80,INFERRED,unknown,2026-09-21,QUOTE NEEDED; AOW and current experience needed
january,Transfers RMF-Marsa Shagra each way,EUR 22 (10-20 pax) / 17 (21-30),QUOTE NEEDED,https://www.redsea-divingsafari.com/faqs,2026-09-21,"FAQ snippet confirms paid transfers, no price"
january,Transfers HRG-Marsa Shagra each way,EUR 41 / 33,QUOTE NEEDED,https://www.redsea-divingsafari.com/faqs,2026-09-21,"~3 h, 253 km"
january,Visa + meet-and-assist (RSDS),EUR 45,QUOTE NEEDED,unknown,2026-09-21,Egypt visa fee USD 30 since 1 Mar 2026 (secondary sources)
january,"On-site chamber fee (Baro-Medical, Marsa Shagra)",EUR 7,ADVERTISED (snippet),https://www.redsea-divingsafari.com/villages/marsa-shagra,2026-09-21,Covers 21 days
january,RSDS free places,"1 at 11+, 2 at 22+, 3 at 33+ guests",ADVERTISED (snippet),https://www.redsea-divingsafari.com/faqs,2026-09-21,"Room, transfers, dive package only; divers only; brief says 11th/21st/30th"
january,RSDS deposit and cancellation,"deposit up to 50% (100% feast); >30 d 20%, 15-29 d 30%, 7-14 d 50%, <=6 d 80%",ADVERTISED (snippet),https://www.redsea-divingsafari.com/price-lists/marsa-shagra/euro-winter-25-26,2026-09-21,General Notes of the 25-26 list; 26-27 wording QUOTE NEEDED; whether 1-10 Jan is a feast period QUOTE NEEDED
january,Emperor Divers group terms,20% non-refundable deposit; 100% inside 30 d,ADVERTISED (snippet),https://www.emperordivers.com/,2026-09-21,Terms PDF snippet
january,Lufthansa Group desk terms,10+; pay within 7 d; names 14 d out; name change free before ticketing then EUR 100,ADVERTISED (snippet),https://www.lufthansa.com/us/en/group-travel,2026-09-21,unknown
january,Euroski dates,"Jan 6-12, St. Anton, 140+ (year not visible)",QUOTE NEEDED,https://groups.wharton.upenn.edu/skisnowboard/home/,2026-09-21,"If 2027, overlaps 6-9 Jan"
january,Egypt visa fee,USD 30 since 1 Mar 2026,"DOCUMENTED (snippet, secondary)",https://visa2egypt.gov.eg/,2026-09-21,e-visa 3-7 business days; China e-visa only; India e-visa advised
january,US State Department Egypt advisory,Level 2; Do Not Travel North/Middle Sinai and parts of Western Desert; dive-boat fatal accidents warning,DOCUMENTED (snippet),https://travel.state.gov/en/international-travel/travel-advisories/egypt.html,2026-09-21,unknown
january,Insurer known-event date,28 Feb 2026; Egypt listed as Impacted Country,DOCUMENTED (snippet),https://www.allianztravelinsurance.com/coverage-alerts/war-in-middle-east-surrounding-region.htm,2026-09-21,CFAR rider 50-75% within 14-21 days of first deposit
thanksgiving,"Flight PHL-SJU return, Thanksgiving week",400-700,INFERRED,https://www.skyscanner.com/routes/phl/sju/philadelphia-international-to-san-juan-luis-munoz-marin.html,2026-09-21,"Frontier one-way from USD 62-70 early/mid Nov ADVERTISED; AA 7/wk, Frontier 18/wk nonstop; holiday fare QUOTE NEEDED"
thanksgiving,PHL-BQN,no nonstop; JetBlue via FLL 9 h 45,ADVERTISED (snippet),https://bw.wego.com/schedules/phl/bqn/flight-schedules-from-philadelphia-pa-to-aguadilla,2026-09-21,Dropped from base case
thanksgiving,Parador Villa Parguera per room,135-170,"ADVERTISED (snippet, aggregator)",https://www.tripadvisor.com/Hotel_Review-g672292-d151670-Reviews-Parador_Villa_Parguera-La_Parguera_Lajas_Puerto_Rico.html,2026-09-21,USD 75 pp at 2 sharing used
thanksgiving,Parguera Plaza Hotel per room,116-153,"ADVERTISED (snippet, aggregator)",https://www.kayak.com/Lajas-Hotels-Parguera-Plaza-Hotel.2412497.ksp,2026-09-21,Adults only; opened 2023
thanksgiving,Paradise Scuba two-tank Wall dive,125,ADVERTISED (snippet),https://www.paradisescubasnorkelingpr.com/scuba-diving-trips/wall-dive-la-parguera/,2026-09-21,"All gear, snacks, water included; boat capacity QUOTE NEEDED"
thanksgiving,Taino Divers Desecheo two-tank,120 + 20 park fee,"ADVERTISED (snippet, aggregator)",https://www.puertoricodaytrips.com/dive-desecheo-island/,2026-09-21,Gear extra; daily weather permitting
thanksgiving,Bio bay tour (Parguera Eco Tours),45,ADVERTISED (snippet),https://pargueraecotours.com/,2026-09-21,Aleli private 150 for 3 + 40 each
thanksgiving,New moon,Mon 9 Nov 2026,ADVERTISED (snippet),https://www.timeanddate.com/moon/phases/,2026-09-21,Full moon ~24 Nov INFERRED; dark bio-bay window Sat 28 Nov
thanksgiving,Car hire per car per day,70,INFERRED,unknown,2026-09-21,QUOTE NEEDED; 3 cars for 10-12
thanksgiving,Neal Watson Tiger Beach day,399 + 12% VAT (2021),"ADVERTISED (snippet, 2021)",https://www.biminiscubacenter.com/tiger-beach,2026-09-21,BAITED; daily Nov-Jun from Old Bahama Bay; 2026 price QUOTE NEEDED
thanksgiving,Neal Watson cancellation,all sales final; one-year credit for weather/airline cancellation,ADVERTISED (snippet),https://www.biminiscubacenter.com/book-now,2026-09-21,Recommends DAN trip cancellation cover
thanksgiving,Bahamas VAT,10% since 1 Jan 2023,DOCUMENTED (snippet),https://www.bahamas.gov.bs/service/value-added-tax-vat,2026-09-21,Brief said 12% (stale)
thanksgiving,Old Bahama Bay per room,205-600; extra person 50,ADVERTISED (snippet),https://www.travelweekly.com/Hotels/West-End-Bahamas/Old-Bahama-Bay-Resort-Yacht-Harbour-p7176136,2026-09-21,73 rooms; 40 min from FPO; USD 125 pp at 2 sharing used (INFERRED)
thanksgiving,FLL-FPO Bahamasair return,271-313,"ADVERTISED (snippet, aggregator)",https://www.kayak.com/flight-routes/Fort-Lauderdale-FLL/Freeport-Grand-Bahama-Intl-FPO,2026-09-21,~8/wk; 1 h 15; one-way from 129
thanksgiving,PHL-FLL return,300,INFERRED,unknown,2026-09-21,QUOTE NEEDED
thanksgiving,Balearia ferry FLL-Freeport return,from 240,ADVERTISED (snippet),https://www.baleariacaribbean.com/en/fort-lauderdale-grand-bahama,2026-09-21,09:00 departure; ~3 h; 2-3 sailings/wk typically Wed/Sun; passport required
thanksgiving,Colombia trek dates,~17-23 Nov historically,INFERRED from 2024,https://www.wetravel.com/trips/official-wharton-colombia-trek-2024-wonder-travel-36924295,2026-09-21,2026 dates unpublished; clash with 19-24 Nov option
thanksgiving,Wharton class days around Thanksgiving,Wed 25 Nov probably a class day; Thu 26-Sun 29 break,INFERRED from 2025-26 calendar,https://mba-inside.wharton.upenn.edu/calendars/2025-26-wharton-mba-academic-calendar/,2026-09-21,2026-27 page blocked
dates,Wharton Q2 core exams,Wed 2-Mon 7 Dec 2026 (tentative),DOCUMENTED (snippet),https://mba-inside.wharton.upenn.edu/fall-2026-core-exam-schedule/,2026-09-21,unknown
dates,Penn final exams,"Thu 10-Thu 17 Dec 2026, weekdays",DOCUMENTED (snippet),https://srfs.upenn.edu/registration-catalog-calendar/final-exams,2026-09-21,In-person request deadline was 4 Sep 2026
dates,Aruba trek precedent,Winter 2024 Aruba Scuba Diving Trek (title only),UNVERIFIED,https://groups.wharton.upenn.edu/rsvp?id=119202,2026-09-21,"Dates, 25 people, USD 575 deposit not confirmed"
cozumel,"Open Water course incl. equipment, wetsuit, DAN training cover (Sand Dollar)",350,QUOTED,Gmail thread 1a0ca5674e6c857a (sds@sanddollarsports.com),2026-09-22,16 students at a time; 3-day flow; no computers
cozumel,Marine park fee per boat day (Sand Dollar),14,QUOTED,Gmail thread 1a0ca5674e6c857a,2026-09-22,Workbook keeps MXN 220 (~USD 13); difference under USD 10 per person
cozumel,Two-tank morning boat dive incl. HP steel tanks and weights (Aldora),110,QUOTED,Gmail thread 1a0ca55f8e267357 (frontdesk@aldora.com),2026-09-22,6 divers per divemaster; multiple boats in parallel
cozumel,Nitrox per tank (Aldora),11,QUOTED,Gmail thread 1a0ca55f8e267357,2026-09-22,unknown
cozumel,Leader comp (Aldora),1 comp at 10+ paid divers,QUOTED,Gmail thread 1a0ca55f8e267357,2026-09-22,"Sand Dollar: one free diver, ratio not stated"
cozumel,Aldora deposit and adjustment window,master group deposit; counts adjustable to 15–30 days before,QUOTED,Gmail thread 1a0ca55f8e267357,2026-09-22,Deposit size QUOTE NEEDED
cozumel,Blue Note capacity,2–4 boats by experience; quote with comps to follow,QUOTED,Gmail thread 1a0ca55e7f19ae79 (info@bluenotescuba.com),2026-09-22,Hotel bundle offered
thanksgiving,Wall dive two-tank (Paradise Scuba),145 + tax; 15% group discount; leader free,QUOTED,Gmail thread 1a0ca716dc6c7ebd (paradisescubapr@gmail.com),2026-09-22,Up to 12 on one vessel; no nitrox; gear USD 25; 50% deposit; 30-day full refund
Cozumel,Sand Dollar Sports,"Certified packages: 2-day USD 215, 3-day 321, 4-day 420, 5-day 510; tune-up USD 5; guided shore dive USD 5; park fee USD 14/boat day",2026-09-23,QUOTED,"email from sds@sanddollarsports.com, thread 1a0ca5674e6c857a",
Cozumel,Sand Dollar Sports,"AOW USD 380 with eLearning done (3 shore + 1 boat dive, park fee incl.); nitrox USD 13/tank (about 20 tanks); night dive shore USD 60 / boat USD 85; DM ratio 6:1; second OW cohort at 1 pm; deposit USD 500; refund full >48 h, 90% 24–48 h, none <24 h, full on port closure",2026-09-23,QUOTED,same email,
Cozumel,Aldora Divers,"OW USD 667 incl. gear, eLearning and tax; nitrox course 273; AOW 749; 2-tank USD 145 air / 167 nitrox incl. tax and park fee; night 82 / 94; gear USD 20/day; deposits USD 150 per student (non-refundable once eLearning issued), USD 100 per certified diver (refundable to 7 days out)",2026-09-22,QUOTED,"email from frontdesk@aldora.com, thread 1a0ca55f8e267357",
Thanksgiving,Taino Divers,No longer operates a boat; offers shore dives; refers Desecheo to Island Style Charters (tel 787-624-9379; islandstylescuba.com; max 4 divers per charter per site),2026-09-23,QUOTED / ADVERTISED (snippet),"email from tainodivers@gmail.com, thread 1a0ca717fcf5d4cf; web search",
Egypt,Blue Ocean (Abu Dabbab),"Full package possible (transfers, Abu Dabbab Lodge, diving); lodge is a partner hotel, double or triple rooms, no free places on rooms; free-place policy on diving depends on activities; prices to follow",2026-09-23,QUOTED (terms only),"email from info@blueocean-eg.com (Rita), thread 1a0ca7212c991ce4",
Cozumel,American Airlines PHL–CZM,Snippet: Philadelphia scheduled for a Saturday-only nonstop to Cozumel from 7 Nov (year not shown; relaunch article); fits a Sat 19 Dec return if it operates,2026-09-23,ADVERTISED (snippet); QUOTE NEEDED,traveloffpath.com relaunch article; flightsfrom.com/PHL-CZM,
Cozumel,Blue Note Scuba,"OW USD 400 incl. equipment (3 days); +2 boat days 240; certified 5-day 600, rental 30/day; 1 comp per 5 paid; 10% commission (540 net per package); AOW, Nitrox, Toadfish specialty free with eLearning; deposit 25%, final 30 days out, refund to 7 days; Hotel Plaza contracted USD 70 (14–15 Dec) / 88 (16–19 Dec) per room for 2 with breakfast, 3rd person 35/44; El Cielo by boat; group taxi for land trips",2026-09-23,QUOTED,"emails 16:23 and 17:21 UTC, thread 1a0ca55e7f19ae79",
Cozumel,Aldora Divers,"OW USD 389 with own eLearning; group discount 10%: 2-tank 130 air / 155 nitrox, night 74/85; 20 students at 4:1 with 5 instructors; USD 100 pp deposit holds; can take the whole group",2026-09-23,QUOTED,"emails 14:51 and 18:34 UTC, thread 1a0ca55f8e267357",
Cozumel,Sand Dollar Sports,"Boat days 14 am, 15 am, 16 pm, 17 am, 18 pm; boat 28 divers; nitrox set-aside 6–8; deposit USD 500 then 10% in October, balance before first service",2026-09-23,QUOTED,"email 17:14 UTC, thread 1a0ca5674e6c857a",
Cozumel,Dive Paradise / Cozumel Hotel & Resort,"All-inclusive 6 nights USD 522 pp double / 840 single (book by 30 Sep); 2-tank days 118, 3/4/5-day 354/472/590; park MXN 225/day; nitrox MXN 230/260; extra boats 76/135/93/165; group bonus 15 pp; deposit 500; lists 45 days, final 30 days; comps 1 per 11 on lodging and diving; 10% commission; group min 6 double rooms; dedicated boat at 16+",2026-09-23,QUOTED,"email 19:07 UTC, thread 1a0cfaa9b7e1a215",
Cozumel,Blue Note Scuba,"Max 4 students per instructor; marine park fee paid on site for boat dives only (no fee on the two training-site days); minimum 10 for one boat; dates Dec 14–18 can be locked for two weeks without deposit, more boats locked on an October count; high season",2026-09-23,QUOTED,"email 20:21 UTC, thread 1a0ca55e7f19ae79",
Cozumel,Aldora Divers,"Latest date a USD 100 pp deposit still secures Dec 14–18: 15 Oct, may change without notice",2026-09-23,QUOTED,"email 20:55 UTC, thread 1a0ca55f8e267357",
